                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7077,                  3.771,                 2.8801,                0.00183,                0.17067,                0.00125,                0.00037,                 5.1688,                 5.3758,                 3.6907,                 0.0024,                 0.0024,                 0.0024
                      2,                 3.7575,                 3.7379,                 2.8487,                0.00159,                0.14904,                0.00107,                0.00034,                 4.7112,                 4.4501,                  3.423,              0.0048968,              0.0048968,              0.0048968
                      3,                 3.6913,                   3.67,                 2.7186,                0.00144,                0.13462,                0.00145,                0.00036,                 4.4907,                 4.1888,                 3.3513,              0.0073902,              0.0073902,              0.0073902
                      4,                 3.5271,                 3.6296,                 2.6418,                0.00182,                0.16987,                0.00129,                0.00033,                  4.439,                  4.151,                 3.4443,              0.0098804,              0.0098804,              0.0098804
                      5,                 3.2464,                 3.2675,                 2.5103,                0.00224,                0.20913,                0.00152,                0.00044,                 3.9382,                 4.0232,                 3.1336,              0.0099736,              0.0099736,              0.0099736
                      6,                 2.9066,                 2.8628,                 2.3706,                0.13372,                0.18349,                0.06393,                0.01822,                 3.2387,                 4.3728,                 2.9027,               0.009967,               0.009967,               0.009967
                      7,                 2.5969,                 2.6046,                 2.1542,                0.20115,                0.28045,                0.10594,                0.03372,                 3.0652,                 15.674,                 3.1789,              0.0099604,              0.0099604,              0.0099604
                      8,                 2.5025,                  2.462,                   1.97,                0.29197,                0.32372,                0.22512,                 0.0745,                 2.5268,                 7.2839,                  2.478,              0.0099538,              0.0099538,              0.0099538
                      9,                   2.31,                 2.1764,                 1.8776,                0.42214,                 0.4952,                0.38953,                0.14186,                 2.2781,                 3.8522,                 2.2349,              0.0099472,              0.0099472,              0.0099472
                     10,                 2.1965,                 2.0105,                 1.7947,                0.49133,                0.28045,                 0.2906,                0.10216,                 2.3649,                 5.8416,                 2.2505,              0.0099406,              0.0099406,              0.0099406
                     11,                 2.1246,                 1.9717,                 1.7056,                0.41627,                0.57212,                0.42293,                0.16226,                  2.193,                 5.9257,                 2.0636,               0.009934,               0.009934,               0.009934
                     12,                 2.0561,                 1.8108,                 1.6493,                0.41355,                  0.625,                0.46742,                0.17589,                 2.0521,                 2.5609,                 2.0056,              0.0099274,              0.0099274,              0.0099274
                     13,                 1.9493,                 1.6877,                 1.5915,                0.60442,                0.64984,                0.59412,                 0.2497,                 1.9457,                 2.3811,                 1.8572,              0.0099208,              0.0099208,              0.0099208
                     14,                 1.8512,                 1.5716,                 1.5203,                0.56966,                0.64278,                0.61118,                0.26473,                 1.8832,                 2.1307,                 1.8185,              0.0099142,              0.0099142,              0.0099142
                     15,                 1.8111,                 1.5116,                 1.4919,                0.50617,                 0.5024,                0.46876,                0.20852,                 2.0745,                 3.8552,                 1.9001,              0.0099076,              0.0099076,              0.0099076
                     16,                 1.8405,                 1.4804,                 1.4517,                 0.6626,                0.67192,                0.70541,                0.31893,                 1.8502,                 1.9291,                 1.8385,               0.009901,               0.009901,               0.009901
                     17,                 1.7355,                 1.3338,                 1.4246,                  0.531,                0.72032,                 0.6112,                0.29609,                 1.7871,                 3.7453,                  1.768,              0.0098944,              0.0098944,              0.0098944
                     18,                 1.6745,                 1.2863,                 1.3896,                0.49335,                0.48077,                0.47877,                0.20539,                 1.8711,                 4.0881,                 1.8112,              0.0098878,              0.0098878,              0.0098878
                     19,                  1.625,                 1.2746,                 1.3701,                0.68972,                0.74119,                0.70599,                0.36404,                 1.7244,                 1.5302,                 1.6912,              0.0098812,              0.0098812,              0.0098812
                     20,                 1.5321,                 1.2097,                 1.2952,                0.74735,                0.81811,                0.83799,                0.48132,                  1.566,                  1.509,                 1.5959,              0.0098746,              0.0098746,              0.0098746
                     21,                 1.5348,                 1.1586,                 1.2867,                 0.7824,                0.79232,                0.84268,                0.49072,                 1.5458,                 1.2256,                 1.5613,               0.009868,               0.009868,               0.009868
                     22,                 1.5147,                 1.1331,                 1.2644,                0.78526,                0.81651,                0.85791,                0.49219,                 1.5908,                 1.5176,                 1.6066,              0.0098614,              0.0098614,              0.0098614
                     23,                  1.501,                 1.0997,                 1.2609,                0.77666,                0.80248,                0.83323,                0.49102,                 1.5855,                 1.3727,                 1.5776,              0.0098548,              0.0098548,              0.0098548
                     24,                 1.4749,                 1.0879,                 1.2337,                0.79538,                0.79735,                0.84768,                0.45683,                 1.6601,                 1.2892,                 1.6428,              0.0098482,              0.0098482,              0.0098482
                     25,                  1.461,                 1.0565,                  1.232,                0.82146,                0.81811,                0.87688,                0.53112,                 1.4893,                  1.471,                 1.5377,              0.0098416,              0.0098416,              0.0098416
                     26,                 1.3676,                 1.0114,                 1.1948,                0.82459,                0.81361,                0.86855,                0.51729,                 1.5551,                 1.3223,                 1.5836,               0.009835,               0.009835,               0.009835
                     27,                 1.3551,                0.96849,                 1.1871,                0.81322,                0.79195,                0.85445,                0.49467,                 1.4986,                 1.3115,                 1.5451,              0.0098284,              0.0098284,              0.0098284
                     28,                 1.2924,                0.95099,                 1.1523,                0.81973,                0.82212,                0.86613,                0.52548,                 1.5208,                 1.4806,                 1.5785,              0.0098218,              0.0098218,              0.0098218
