                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5445,                 4.0801,                  4.218,                 4.4707,                 7.9872,                  4.239,                0.00019,                0.01225,                0.00012,                  3e-05,                 4.9501,                 5.2434,                   4.16,                  4.907,                 18.036,                 4.1607,                 0.0003,                 0.0003,                 0.0003
                      2,                 4.1964,                  3.415,                 3.9942,                 4.0353,                 5.9575,                 3.9819,                0.00019,                0.01225,                0.00011,                  3e-05,                 4.9692,                 5.2988,                  4.192,                 4.9218,                 18.339,                 4.1912,             0.00061898,             0.00061898,             0.00061898
                      3,                 3.8291,                 2.9974,                 3.7125,                  3.533,                 4.8644,                 3.6765,                0.00013,                0.00875,                  9e-05,                  2e-05,                 5.0432,                 5.4634,                 4.3444,                 4.9716,                 18.972,                 4.3064,              0.0009369,              0.0009369,              0.0009369
                      4,                 3.3559,                 2.7918,                 3.3968,                 2.9768,                 4.1524,                 3.3973,                0.00022,                  0.014,                0.00012,                  3e-05,                 5.0861,                 5.3514,                   4.44,                 5.0107,                 17.736,                 4.3851,              0.0012538,              0.0012538,              0.0012538
                      5,                 3.1871,                  2.588,                 3.1475,                 2.8454,                 3.5098,                  3.081,                0.00022,                  0.014,                0.00037,                  5e-05,                 5.0149,                 4.9672,                 4.3122,                 4.9812,                 15.142,                 4.3332,              0.0015696,              0.0015696,              0.0015696
                      6,                 2.9489,                 2.5149,                 2.9368,                  2.721,                 3.3355,                 2.7345,                0.00024,                0.01575,                0.00015,                  4e-05,                  4.979,                 4.8779,                 4.2858,                 4.9312,                 13.523,                 4.2555,              0.0018843,              0.0018843,              0.0018843
                      7,                 2.8013,                 2.3785,                 2.8746,                 2.5752,                 3.1167,                 2.6376,                0.00057,                0.03675,                0.00529,                0.00173,                 4.3779,                 4.4891,                  3.752,                 3.9933,                 7.5702,                 3.5377,              0.0019802,              0.0019802,              0.0019802
                      8,                 2.8522,                 2.2934,                 2.6011,                 2.6541,                 2.7908,                 2.3548,                0.34633,                0.03477,                0.04086,                0.01005,                 3.5431,                 3.8137,                 3.2416,                 3.1202,                 5.0253,                 3.0201,              0.0019802,              0.0019802,              0.0019802
                      9,                 2.7484,                  2.206,                 2.4137,                 2.5559,                 2.6758,                 2.1333,                0.29218,                 0.1979,                0.14856,                0.03806,                 2.9433,                 2.8649,                 2.6776,                 2.6316,                 3.8875,                 2.4107,              0.0019769,              0.0019769,              0.0019769
                     10,                 2.7007,                 2.0232,                 2.3954,                 2.6101,                    2.5,                  2.142,                0.39223,                0.29659,                0.25953,                0.08502,                  2.699,                  2.242,                 2.3976,                 2.3415,                 3.0775,                 2.1125,              0.0019736,              0.0019736,              0.0019736
                     11,                 2.6987,                 1.9612,                 2.3232,                 2.5496,                 2.3889,                  2.036,                0.41881,                0.31846,                 0.2962,                0.08256,                 2.5915,                 2.0791,                 2.3362,                 2.3285,                 2.5795,                 2.1096,              0.0019703,              0.0019703,              0.0019703
