                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57382,                0.39206,                0.87667,                0.96455,                  0.972,                 0.9893,                0.88759,                0.55976,                0.34245,                0.81943,                 0.0003,                 0.0003,                 0.0003
                      2,                0.58408,                0.36178,                0.86486,                0.97614,                0.96638,                 0.9914,                0.87945,                0.54746,                0.32874,                0.81644,             0.00061847,             0.00061847,             0.00061847
                      3,                0.61522,                0.38318,                0.86612,                 0.9738,                0.97375,                  0.991,                0.88679,                0.53686,                0.34875,                0.81136,             0.00093535,             0.00093535,             0.00093535
                      4,                0.62585,                0.37918,                0.87173,                0.97772,                0.96588,                 0.9915,                 0.8764,                0.57027,                0.35442,                0.81653,              0.0012506,              0.0012506,              0.0012506
                      5,                0.62314,                 0.3922,                0.87958,                0.98082,                0.98406,                0.99366,                0.87075,                0.56326,                0.35789,                0.81337,              0.0015644,              0.0015644,              0.0015644
                      6,                 0.6256,                0.40091,                0.86298,                0.97478,                0.97813,                0.99142,                0.87481,                0.57541,                0.37048,                0.81919,              0.0018765,              0.0018765,              0.0018765
                      7,                0.65675,                0.42073,                0.86459,                0.97403,                0.98432,                0.99263,                0.87605,                0.55887,                0.37311,                0.81978,              0.0019703,              0.0019703,              0.0019703
                      8,                0.61212,                0.40806,                0.87324,                0.97654,                0.97375,                0.99134,                0.85943,                0.58227,                0.39722,                0.82191,              0.0019654,              0.0019654,              0.0019654
                      9,                0.64089,                0.42402,                0.87702,                0.97653,                0.97463,                0.99244,                0.86748,                0.58329,                0.37283,                0.82161,              0.0019604,              0.0019604,              0.0019604
                     10,                0.63657,                 0.4096,                0.88479,                0.97412,                0.96938,                0.99136,                0.86709,                0.57826,                0.37175,                0.82403,              0.0019555,              0.0019555,              0.0019555
                     11,                0.67268,                0.42205,                0.86684,                0.98064,                0.97509,                0.99157,                0.87131,                0.57836,                0.37376,                0.82463,              0.0019505,              0.0019505,              0.0019505
                     12,                 0.6364,                0.41422,                0.87585,                0.98114,                0.97813,                0.99231,                0.87319,                0.56486,                0.36986,                0.81963,              0.0019456,              0.0019456,              0.0019456
                     13,                0.63983,                0.40839,                0.87336,                0.98159,                0.97983,                0.99105,                0.87261,                0.58024,                0.37094,                 0.8224,              0.0019406,              0.0019406,              0.0019406
                     14,                0.64641,                0.41985,                0.89058,                0.98758,                0.97113,                0.99315,                 0.8805,                0.55707,                0.35816,                0.81856,              0.0019357,              0.0019357,              0.0019357
                     15,                0.63099,                0.39714,                0.87045,                0.98014,                0.96675,                 0.9909,                0.86171,                0.59811,                0.38787,                0.82599,              0.0019307,              0.0019307,              0.0019307
                     16,                0.68508,                0.43815,                0.87613,                 0.9765,                0.98145,                0.99382,                0.87445,                0.56204,                0.37249,                0.82106,              0.0019258,              0.0019258,              0.0019258
                     17,                0.62889,                0.40313,                0.86323,                0.97183,                0.96593,                0.99033,                0.84724,                 0.6117,                0.43354,                0.83633,              0.0019208,              0.0019208,              0.0019208
                     18,                 0.6253,                0.39775,                0.87037,                0.97062,                0.97463,                0.98877,                0.85969,                0.59176,                0.40139,                0.83121,              0.0019159,              0.0019159,              0.0019159
                     19,                0.65892,                 0.4176,                0.88129,                 0.9938,                0.98127,                0.99454,                0.88363,                0.56526,                0.34289,                 0.8213,              0.0019109,              0.0019109,              0.0019109
                     20,                0.64675,                0.41197,                0.87415,                0.98772,                0.98502,                0.99397,                0.88136,                0.55003,                0.34407,                0.81761,               0.001906,               0.001906,               0.001906
                     21,                0.68558,                0.41806,                0.88752,                0.98899,                0.97725,                0.99358,                0.87829,                0.55694,                 0.3542,                0.82153,               0.001901,               0.001901,               0.001901
                     22,                0.66555,                0.41917,                0.87582,                 0.9878,                0.99156,                0.99428,                0.88384,                0.57835,                0.34579,                0.82015,              0.0018961,              0.0018961,              0.0018961
                     23,                0.64899,                0.41678,                0.87137,                0.98712,                0.98863,                0.99331,                 0.8762,                0.55145,                0.35094,                0.81826,              0.0018911,              0.0018911,              0.0018911
                     24,                0.63614,                0.40624,                0.87587,                0.98772,                0.98496,                0.99402,                0.88632,                0.55009,                0.34446,                0.81622,              0.0018862,              0.0018862,              0.0018862
                     25,                0.63651,                0.40378,                0.86512,                0.98215,                 0.9825,                0.99067,                0.87476,                0.56525,                0.35085,                0.81972,              0.0018812,              0.0018812,              0.0018812
                     26,                0.62811,                 0.4035,                0.88007,                0.98682,                0.98236,                0.99439,                0.87845,                0.55647,                0.34215,                0.81725,              0.0018763,              0.0018763,              0.0018763
                     27,                0.66005,                0.40478,                 0.8658,                0.98817,                0.99125,                0.99452,                0.88553,                0.54714,                 0.3331,                0.81587,              0.0018713,              0.0018713,              0.0018713
                     28,                0.62938,                0.40418,                 0.8626,                0.99037,                0.98966,                0.99418,                0.88402,                0.53102,                0.34392,                0.81415,              0.0018663,              0.0018663,              0.0018663
                     29,                0.63062,                0.40733,                0.86136,                0.98517,                0.98798,                0.99435,                0.88905,                0.52172,                0.34385,                0.81219,              0.0018614,              0.0018614,              0.0018614
                     30,                0.58469,                0.38015,                 0.8623,                0.98653,                0.98075,                0.99276,                0.89101,                0.53649,                0.34569,                0.81436,              0.0018564,              0.0018564,              0.0018564
                     31,                 0.6192,                0.39002,                0.86729,                0.98509,                0.98277,                 0.9941,                0.89054,                0.53642,                0.33717,                0.81718,              0.0018515,              0.0018515,              0.0018515
                     32,                 0.6218,                 0.3956,                 0.8657,                 0.9877,                0.98363,                0.99305,                0.88315,                0.53552,                0.34469,                0.81542,              0.0018465,              0.0018465,              0.0018465
                     33,                0.62207,                0.38856,                0.85984,                0.99295,                0.98578,                0.99418,                0.88739,                0.52649,                0.32832,                0.81832,              0.0018416,              0.0018416,              0.0018416
                     34,                0.60095,                0.38976,                0.86525,                0.98169,                 0.9825,                0.99279,                0.88794,                0.52956,                 0.3557,                0.81542,              0.0018367,              0.0018367,              0.0018367
                     35,                0.64168,                0.41183,                0.88146,                0.98474,                0.98425,                0.99295,                0.86852,                 0.5539,                0.36855,                0.82491,              0.0018317,              0.0018317,              0.0018317
                     36,                0.61644,                0.39535,                 0.8712,                 0.9842,                0.98065,                0.99319,                 0.8854,                0.53872,                 0.3501,                0.81841,              0.0018267,              0.0018267,              0.0018267
                     37,                0.64186,                0.40941,                0.86973,                0.98592,                0.97988,                0.99409,                0.88824,                0.51992,                0.34387,                0.81216,              0.0018218,              0.0018218,              0.0018218
                     38,                0.63137,                0.40262,                0.86409,                0.96951,                0.97363,                0.99229,                0.88819,                   0.53,                 0.3568,                0.81549,              0.0018168,              0.0018168,              0.0018168
                     39,                0.63297,                0.40617,                0.87753,                0.98625,                0.98163,                0.99376,                0.88111,                 0.5556,                0.34593,                0.81966,              0.0018119,              0.0018119,              0.0018119
                     40,                0.66075,                0.41215,                0.88114,                0.99115,                0.97959,                0.99426,                 0.8874,                0.51707,                0.33998,                0.81285,              0.0018069,              0.0018069,              0.0018069
                     41,                0.62894,                0.40233,                0.86885,                0.98745,                0.98163,                 0.9943,                0.87859,                0.55104,                0.34491,                 0.8148,               0.001802,               0.001802,               0.001802
                     42,                0.61851,                0.39966,                0.87055,                0.99079,                0.98075,                0.99314,                0.88663,                0.52429,                0.34447,                0.81314,              0.0017971,              0.0017971,              0.0017971
                     43,                0.63815,                0.40053,                0.87213,                0.98428,                0.98584,                0.99283,                0.88381,                0.52718,                0.34363,                0.81633,              0.0017921,              0.0017921,              0.0017921
                     44,                0.62364,                0.39705,                0.87366,                0.98198,                0.98688,                0.99316,                0.87896,                0.54035,                0.34314,                0.81868,              0.0017872,              0.0017872,              0.0017872
                     45,                0.61272,                0.39822,                0.86297,                0.98859,                0.98544,                 0.9944,                0.88499,                0.52294,                 0.3332,                 0.8137,              0.0017822,              0.0017822,              0.0017822
                     46,                0.63003,                0.40522,                0.88053,                0.98776,                0.98849,                0.99446,                0.89722,                0.50618,                0.32476,                0.81166,              0.0017772,              0.0017772,              0.0017772
                     47,                0.62231,                0.39394,                0.87399,                0.99459,                0.98513,                0.99481,                0.89328,                0.51356,                0.32417,                0.81277,              0.0017723,              0.0017723,              0.0017723
                     48,                0.59481,                0.38136,                0.86562,                0.98859,                0.98501,                0.99422,                0.89306,                0.52621,                0.32634,                0.81472,              0.0017674,              0.0017674,              0.0017674
                     49,                0.59468,                0.37573,                0.86959,                0.98734,                0.98163,                0.99355,                0.89507,                0.50062,                0.33153,                0.80945,              0.0017624,              0.0017624,              0.0017624
                     50,                0.60651,                0.38126,                0.86471,                0.99294,                0.98412,                0.99386,                0.89195,                0.51326,                0.32667,                0.80947,              0.0017575,              0.0017575,              0.0017575
