                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2174,                 5.5155,                 1.4386,                0.54058,                0.30108,                0.34516,                0.19648,                 1.5818,                   3.08,                 1.1903,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.9211,                 5.0427,                  1.374,                 0.7254,                0.48291,                0.54684,                0.33205,                   1.38,                 2.0042,                 1.0954,             5.9852e-05,             5.9852e-05,             5.9852e-05
                      3,                 1.6897,                 3.1728,                 1.2615,                0.79022,                0.60759,                0.71947,                0.46381,                  1.266,                 1.1019,                 1.0544,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      4,                 1.6274,                 1.8233,                 1.1976,                0.79572,                0.75394,                0.80285,                0.49818,                 1.2163,                0.89779,                 1.0263,             0.00013896,             0.00013896,             0.00013896
                      5,                 1.3977,                 1.0865,                 1.0334,                0.84731,                0.89506,                0.88167,                0.51841,                 1.1583,                0.87845,                 1.0057,             0.00017822,             0.00017822,             0.00017822
                      6,                 1.2592,                0.94246,                 1.0314,                0.88248,                0.90323,                0.92435,                0.57732,                 1.0824,                0.77227,                0.95421,             0.00021728,             0.00021728,             0.00021728
                      7,                 1.2048,                0.81106,                0.97971,                0.90911,                0.91398,                 0.9574,                0.63019,                 1.0169,                 0.6495,                0.92623,             0.00025614,             0.00025614,             0.00025614
                      8,                 1.1226,                0.65269,                 0.9272,                0.91893,                0.94624,                0.97935,                0.69303,                0.91221,                 0.6043,                0.90037,              0.0002948,              0.0002948,              0.0002948
                      9,                0.98303,                0.63772,                0.93606,                0.91823,                0.96602,                 0.9825,                0.71182,                0.88092,                0.58831,                0.89019,             0.00033327,             0.00033327,             0.00033327
                     10,                 1.0592,                0.63964,                 0.8948,                0.91759,                0.96774,                0.98347,                0.73023,                0.85354,                0.56567,                0.87943,             0.00037154,             0.00037154,             0.00037154
                     11,                 1.0864,                0.64438,                0.94219,                0.91068,                0.97849,                0.98299,                0.73558,                0.85237,                0.55372,                0.87466,             0.00040961,             0.00040961,             0.00040961
                     12,                0.97267,                0.60439,                0.91735,                0.93814,                0.97836,                0.98295,                0.73596,                0.86992,                0.55762,                0.87173,             0.00044748,             0.00044748,             0.00044748
                     13,                 1.0272,                 0.5921,                0.88786,                  0.929,                0.98491,                0.98006,                0.73283,                 0.8805,                0.56217,                 0.8713,             0.00048515,             0.00048515,             0.00048515
                     14,                0.86792,                0.55568,                0.90454,                0.93873,                0.98848,                0.98098,                0.74334,                0.86523,                0.55461,                0.86865,             0.00052263,             0.00052263,             0.00052263
                     15,                0.95037,                0.59878,                0.91383,                0.93496,                      1,                0.98415,                0.75131,                 0.8414,                0.53214,                0.86501,              0.0005599,              0.0005599,              0.0005599
                     16,                0.89885,                0.54777,                0.88644,                0.94688,                      1,                0.98658,                0.76397,                0.82835,                0.52735,                0.86261,             0.00059698,             0.00059698,             0.00059698
                     17,                0.88649,                0.50997,                0.85876,                0.95742,                      1,                0.98852,                0.76903,                 0.7991,                0.52995,                0.85743,             0.00063386,             0.00063386,             0.00063386
                     18,                0.86657,                0.54755,                0.88638,                0.95655,                      1,                0.98941,                0.76028,                0.79371,                0.52653,                0.85497,             0.00067055,             0.00067055,             0.00067055
                     19,                0.96248,                0.52659,                0.86477,                0.96604,                      1,                0.99053,                0.74838,                0.81788,                0.53086,                0.85853,             0.00070703,             0.00070703,             0.00070703
                     20,                0.89007,                 0.5228,                0.86573,                0.96599,                      1,                0.99228,                0.75774,                0.79344,                0.53429,                0.85585,             0.00074332,             0.00074332,             0.00074332
                     21,                 0.8656,                0.50696,                0.88932,                0.97891,                0.99801,                0.99299,                0.78039,                0.77263,                0.52847,                0.85256,             0.00077941,             0.00077941,             0.00077941
                     22,                0.89316,                0.52682,                0.87241,                0.97839,                      1,                0.99088,                0.77104,                0.79486,                0.54641,                0.85661,              0.0008153,              0.0008153,              0.0008153
                     23,                0.85065,                0.51978,                0.89101,                0.97891,                0.99799,                 0.9903,                0.77661,                0.80659,                0.54648,                0.85853,               0.000851,               0.000851,               0.000851
                     24,                0.79819,                0.52704,                0.86376,                0.98612,                0.98925,                0.98986,                0.77972,                0.79358,                 0.5303,                0.85515,             0.00088649,             0.00088649,             0.00088649
                     25,                 0.9028,                0.51952,                0.85603,                 0.9658,                0.98925,                0.98632,                0.78728,                0.75719,                 0.5073,                0.84932,             0.00092179,             0.00092179,             0.00092179
                     26,                0.85549,                0.53575,                0.88349,                0.96382,                0.98925,                0.98466,                0.78445,                0.75488,                0.50362,                0.84693,             0.00095689,             0.00095689,             0.00095689
                     27,                0.86899,                0.52017,                0.87948,                0.96819,                0.98197,                0.98537,                0.78332,                0.76928,                0.50451,                0.84728,             0.00099179,             0.00099179,             0.00099179
                     28,                0.86233,                0.53182,                0.87823,                0.96819,                0.98197,                0.98537,                0.78332,                0.76928,                0.50451,                0.84728,              0.0010265,              0.0010265,              0.0010265
                     29,                0.83573,                0.50745,                0.86211,                0.96821,                0.98264,                0.98558,                0.78597,                0.73329,                 0.4922,                0.84508,               0.001061,               0.001061,               0.001061
